iter	Passed	Remaining
0	47	47247
1	49	24511
2	50	16806
3	51	12887
4	52	10431
5	54	9094
6	55	7883
7	56	6970
8	58	6484
9	59	5898
10	60	5414
11	61	5053
12	62	4711
13	62	4416
14	65	4293
15	66	4062
16	66	3856
17	69	3804
18	70	3634
19	72	3563
20	73	3421
21	74	3291
22	77	3276
23	77	3164
24	80	3124
25	80	3031
26	83	2991
27	83	2906
28	85	2873
29	86	2796
30	86	2715
31	88	2691
32	89	2626
33	91	2608
34	92	2551
35	94	2530
36	95	2477
37	97	2462
38	97	2413
39	101	2424
40	101	2382
41	104	2375
42	105	2340
43	105	2299
44	108	2302
45	109	2263
46	109	2221
47	111	2219
48	112	2184
49	113	2151
50	116	2160
51	116	2129
52	117	2099
53	120	2111
54	121	2094
55	123	2084
56	125	2074
57	126	2047
58	127	2037
59	128	2012
60	129	1986
61	131	1996
62	132	1972
63	135	1974
64	135	1951
65	136	1929
66	139	1938
67	139	1917
68	140	1896
69	142	1890
70	142	1870
71	143	1850
72	146	1858
73	147	1840
74	149	1845
75	150	1827
76	150	1809
77	153	1815
78	154	1798
79	154	1781
80	157	1787
81	158	1771
82	158	1754
83	161	1761
84	162	1746
85	162	1731
86	165	1737
87	166	1722
88	167	1713
89	169	1712
90	171	1709
91	171	1696
92	174	1701
93	175	1688
94	175	1675
95	178	1679
96	179	1666
97	179	1653
98	182	1657
99	182	1645
100	183	1633
101	186	1638
102	186	1625
103	187	1614
104	189	1618
105	190	1607
106	191	1596
107	193	1600
108	194	1589
109	195	1580
110	198	1591
111	200	1591
112	201	1581
113	202	1571
114	204	1574
115	206	1576
116	207	1566
117	209	1566
118	210	1556
119	212	1558
120	213	1548
121	214	1547
122	215	1537
123	216	1529
124	217	1519
125	219	1523
126	220	1514
127	220	1505
128	223	1510
129	224	1502
130	227	1506
131	227	1497
132	228	1489
133	231	1493
134	231	1484
135	232	1477
136	235	1481
137	235	1473
138	236	1465
139	239	1472
140	240	1463
141	242	1465
142	243	1457
143	245	1457
144	245	1450
145	248	1451
146	248	1443
147	251	1445
148	251	1438
149	252	1430
150	255	1436
151	256	1429
152	258	1431
153	259	1424
154	261	1425
155	262	1418
156	262	1411
157	263	1403
158	266	1409
159	267	1402
160	269	1404
161	270	1397
162	270	1390
163	273	1395
164	274	1388
165	274	1381
166	277	1383
167	277	1376
168	278	1369
169	281	1375
170	282	1369
171	284	1369
172	285	1363
173	287	1365
174	288	1359
175	288	1352
176	291	1357
177	292	1351
178	294	1352
179	295	1348
180	296	1341
181	298	1343
182	299	1337
183	300	1331
184	303	1337
185	304	1331
186	306	1331
187	307	1326
188	309	1327
189	310	1322
190	311	1317
191	313	1319
192	314	1313
193	315	1308
194	318	1313
195	318	1308
196	321	1309
197	321	1303
198	323	1304
199	324	1298
200	326	1299
201	327	1293
202	329	1294
203	330	1289
204	332	1290
205	333	1284
206	335	1285
207	336	1280
208	337	1275
209	340	1280
210	341	1275
211	343	1275
212	343	1270
213	346	1272
214	348	1272
215	349	1267
216	351	1268
217	352	1263
218	354	1263
219	354	1258
220	355	1253
221	356	1249
222	357	1245
223	357	1240
224	360	1243
225	361	1238
226	364	1241
227	365	1236
228	367	1235
229	368	1233
230	369	1229
231	371	1230
232	372	1226
233	373	1221
234	376	1224
235	376	1219
236	379	1220
237	379	1216
238	380	1212
239	383	1214
240	384	1210
241	384	1205
242	386	1203
243	387	1199
244	389	1201
245	390	1197
246	391	1192
247	393	1194
248	394	1189
249	395	1185
250	398	1187
251	399	1186
252	402	1187
253	403	1184
254	405	1183
255	405	1179
256	408	1179
257	410	1180
258	413	1182
259	414	1180
260	415	1176
261	416	1174
262	417	1169
263	418	1165
264	419	1163
265	420	1159
266	422	1160
267	423	1156
268	424	1152
269	427	1155
270	428	1151
271	430	1151
272	430	1147
273	432	1147
274	433	1143
275	435	1143
276	436	1139
277	438	1139
278	439	1136
279	440	1132
280	443	1134
281	444	1130
282	446	1131
283	448	1130
284	449	1126
285	449	1122
286	452	1124
287	453	1120
288	453	1116
289	456	1118
290	457	1114
291	460	1115
292	460	1111
293	461	1108
294	464	1109
295	465	1105
296	465	1102
297	468	1103
298	469	1099
299	471	1100
300	472	1097
301	473	1093
302	475	1093
303	475	1089
304	478	1090
305	479	1088
306	481	1086
307	484	1088
308	485	1085
309	488	1086
310	489	1083
311	489	1079
312	492	1080
313	493	1079
314	495	1076
315	495	1073
316	496	1069
317	497	1066
318	500	1068
319	501	1064
320	503	1065
321	504	1061
322	504	1057
323	507	1059
324	508	1055
325	510	1055
326	511	1052
327	512	1049
328	512	1045
329	514	1044
330	515	1041
331	517	1041
332	518	1039
333	520	1038
334	521	1035
335	524	1036
336	525	1032
337	525	1029
338	528	1029
339	528	1026
340	529	1023
341	532	1024
342	533	1021
343	536	1022
344	536	1018
345	537	1015
346	540	1016
347	542	1016
348	543	1012
349	543	1009
350	546	1010
351	547	1007
352	547	1003
353	550	1004
354	551	1001
355	554	1002
356	554	999
357	555	996
358	558	997
359	559	994
360	560	992
361	561	989
362	564	990
363	565	987
364	567	987
365	568	984
366	569	981
367	572	983
368	573	980
369	575	979
370	576	977
371	578	977
372	580	976
373	582	975
374	583	973
375	585	971
376	587	970
377	588	968
378	590	967
379	591	964
380	592	961
381	594	962
382	596	960
383	597	959
384	598	956
385	599	953
386	600	950
387	601	947
388	601	944
389	603	943
390	604	941
391	605	938
392	605	935
393	606	933
394	609	933
395	609	930
396	610	927
397	612	926
398	613	923
399	615	923
400	616	921
401	619	921
402	620	918
403	620	915
404	623	916
405	624	913
406	626	913
407	627	910
408	628	907
409	628	904
410	631	905
411	632	902
412	635	902
413	636	901
414	637	898
415	638	896
416	640	895
417	640	892
418	643	891
419	644	889
420	644	886
421	647	886
422	647	883
423	648	881
424	651	881
425	653	880
426	654	877
427	654	875
428	655	872
429	658	872
430	658	869
431	659	867
432	662	868
433	664	866
434	665	864
435	667	863
436	668	860
437	669	858
438	670	856
439	672	855
440	673	853
441	674	851
442	675	849
443	677	847
444	678	845
445	678	843
446	680	842
447	681	839
448	683	839
449	685	837
450	686	836
451	687	833
452	688	830
453	690	830
454	691	828
455	691	825
456	694	825
457	695	822
458	696	820
459	698	820
460	699	817
461	699	815
462	702	815
463	703	812
464	706	812
465	706	809
466	708	808
467	710	807
468	710	804
469	711	802
470	714	802
471	714	799
472	717	799
473	718	796
474	718	794
475	721	794
476	723	792
477	723	790
478	725	789
479	726	787
480	729	787
481	730	785
482	731	782
483	734	782
484	735	780
485	737	779
486	738	777
487	738	775
488	741	775
489	742	772
490	744	772
491	745	769
492	746	767
493	748	766
494	750	765
495	750	762
496	752	761
497	753	759
498	755	758
499	756	756
500	758	755
501	759	753
502	761	752
503	762	750
504	765	750
505	766	748
506	768	747
507	769	745
508	771	744
509	773	743
510	774	740
511	777	740
512	778	738
513	781	738
514	782	736
515	784	736
516	785	733
517	787	733
518	788	730
519	788	728
520	789	725
521	789	723
522	790	720
523	792	719
524	793	717
525	796	717
526	796	715
527	799	714
528	800	712
529	803	712
530	803	710
531	806	709
532	807	707
533	810	707
534	811	705
535	813	704
536	814	702
537	815	700
538	818	699
539	820	698
540	821	696
541	822	694
542	823	692
543	825	691
544	825	689
545	828	688
546	828	686
547	831	685
548	831	683
549	833	682
550	834	679
551	836	679
552	837	676
553	839	675
554	840	673
555	842	672
556	843	670
557	843	668
558	846	668
559	847	665
560	848	663
561	849	661
562	849	659
563	850	657
564	853	657
565	854	654
566	856	654
567	857	651
568	857	649
569	858	647
570	861	647
571	862	645
572	863	643
573	865	642
574	866	640
575	869	639
576	869	637
577	872	636
578	872	634
579	875	633
580	875	631
581	876	629
582	879	628
583	880	626
584	882	625
585	883	623
586	883	621
587	884	619
588	887	619
589	887	617
590	890	616
591	891	614
592	891	611
593	894	611
594	895	609
595	895	607
596	898	606
597	898	604
598	899	602
599	902	601
600	903	599
601	905	598
602	906	596
603	906	594
604	907	592
605	910	591
606	910	589
607	913	588
608	914	586
609	914	584
610	917	584
611	918	582
612	918	580
613	923	580
614	924	578
615	925	576
616	928	576
617	929	574
618	931	573
619	933	572
620	935	570
621	937	569
622	937	567
623	940	566
624	940	564
625	942	563
626	943	561
627	945	560
628	946	558
629	947	556
630	950	555
631	951	554
632	952	552
633	954	550
634	954	548
635	957	547
636	957	545
637	960	544
638	961	543
639	962	541
640	963	539
641	964	537
642	967	537
643	967	535
644	968	533
645	971	532
646	972	530
647	973	528
648	976	528
649	977	526
650	979	525
651	980	523
652	980	521
653	983	520
654	984	518
655	987	517
656	988	516
657	989	514
658	991	513
659	992	511
660	993	509
661	996	508
662	997	506
663	999	505
664	1001	504
665	1001	502
666	1004	501
667	1004	499
668	1006	498
669	1007	496
670	1009	494
671	1010	493
672	1010	491
673	1013	490
674	1013	488
675	1015	486
676	1016	485
677	1018	483
678	1019	481
679	1021	480
680	1022	478
681	1024	477
682	1025	475
683	1027	474
684	1028	472
685	1030	471
686	1031	469
687	1033	468
688	1035	467
689	1036	465
690	1037	464
691	1038	462
692	1041	461
693	1042	459
694	1045	458
695	1045	456
696	1048	455
697	1049	454
698	1050	452
699	1053	451
700	1054	449
701	1058	449
702	1058	447
703	1059	445
704	1059	443
705	1060	441
706	1060	439
707	1061	437
708	1062	435
709	1062	434
710	1063	432
711	1063	430
712	1063	428
713	1064	426
714	1064	424
715	1065	422
716	1066	420
717	1067	419
718	1067	417
719	1067	415
720	1068	413
721	1069	411
722	1069	409
723	1070	408
724	1070	406
725	1072	404
726	1073	403
727	1075	401
728	1076	400
729	1077	398
730	1080	397
731	1081	395
732	1081	394
733	1083	392
734	1085	391
735	1085	389
736	1086	387
737	1088	386
738	1089	384
739	1090	383
740	1093	382
741	1093	380
742	1096	379
743	1096	377
744	1098	376
745	1100	374
746	1101	373
747	1102	371
748	1104	370
749	1105	368
750	1105	366
751	1106	364
752	1106	362
753	1106	361
754	1107	359
755	1107	357
756	1108	355
757	1109	354
758	1109	352
759	1110	350
760	1110	348
761	1111	347
762	1112	345
763	1112	343
764	1113	341
765	1113	340
766	1114	338
767	1114	336
768	1115	335
769	1115	333
770	1116	331
771	1117	329
772	1117	328
773	1118	326
774	1118	324
775	1119	323
776	1120	321
777	1120	319
778	1121	318
779	1121	316
780	1122	314
781	1122	313
782	1123	311
783	1123	309
784	1124	307
785	1125	306
786	1125	304
787	1126	302
788	1126	301
789	1127	299
790	1127	298
791	1128	296
792	1129	294
793	1129	293
794	1130	291
795	1130	289
796	1131	288
797	1131	286
798	1132	284
799	1133	283
800	1133	281
